benchmark,input,smt_to_ll_seconds,slot_generation_seconds,chain_generation_seconds,first_generation_seconds,last_generation_seconds,random_generation_seconds,all-bfs_generation_seconds,all-dfs_generation_seconds,slot_solver_time,chain_solver_time,first_solver_time,last_solver_time,random_solver_time,all-bfs_solver_time,all-dfs_solver_time,slot_total_seconds,chain_total_seconds,first_total_seconds,last_total_seconds,random_total_seconds,all-bfs_total_seconds,all-dfs_total_seconds
45,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/45.smt2,13.361,4.804,5.211,5.003,5.212,5.145,6.708,5.535,0.935036,1.43518,5.28219,5.99854,5.6722,5.10566,7.12216,19.1,20.0072,23.6462,24.5715,24.1782,25.1747,26.0182
54,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/54.smt2,30.654,11.587,12.64,11.918,12.052,12.534,23.713,24.263,189.634,83.4058,305.01,10.9602,44.2632,49.8963,103.035,231.875,126.7,347.582,53.6662,87.4512,104.263,157.952
bin_eventlogadm_vc331203,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/samba_v3.0.24/bin_eventlogadm_vc331203.smt2,11.137,0.233,1.578,0.741,0.829,0.829,200.578,197.894,11.2294,3.11024,3.80651,7.6317,5.81791,17.537,9.60408,22.5994,15.8252,15.6845,19.5977,17.7839,229.252,218.635
bin_eventlogadm_vc331205,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/samba_v3.0.24/bin_eventlogadm_vc331205.smt2,11.522,0.237,1.6,0.733,0.866,0.716,316.61,209.154,6.95968,2.31506,2.93626,2.80795,2.95345,8.47926,9.17685,18.7187,15.4371,15.1913,15.196,15.1914,336.611,229.853
bin_eventlogadm_vc331206,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/samba_v3.0.24/bin_eventlogadm_vc331206.smt2,10.209,0.24,0.655,0.747,0.835,0.724,200.859,198.752,3.63811,1.91318,2.13623,2.32916,3.0924,7.4634,8.88855,14.0871,12.7772,13.0922,13.3732,14.0254,218.531,217.85
bin_eventlogadm_vc351368,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/samba_v3.0.24/bin_eventlogadm_vc351368.smt2,20.825,0.4,3.404,1.314,1.241,1.148,716.221,711.187,2.74733,14.7585,1.44352,1.53525,13.8822,23.4971,19.5121,23.9723,38.9875,23.5825,23.6012,35.8552,760.543,751.524
bin_eventlogadm_vc351388,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/samba_v3.0.24/bin_eventlogadm_vc351388.smt2,25.067,0.432,3.725,1.417,1.307,1.425,794.849,803.95,2.62932,25.1059,2.53735,2.42289,26.6436,39.4485,34.7431,28.1283,53.8979,29.0214,28.7969,53.1356,859.364,863.76
bin_eventlogadm_vc352367,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/samba_v3.0.24/bin_eventlogadm_vc352367.smt2,20.853,0.438,3.731,1.385,1.291,1.346,790.131,788.489,4.62526,18.2023,1.53211,0.996261,16.1833,18.8978,13.5757,25.9163,42.7863,23.7701,23.1403,38.3823,829.882,822.918
bin_libsmbsharemodes_vc4818,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/samba_v3.0.24/bin_libsmbsharemodes_vc4818.smt2,25.224,0.472,4.004,1.491,1.381,1.464,870.246,866.643,11.0829,4.08383,0.835921,0.580915,5.89992,8.22942,8.21875,36.7789,33.3118,27.5509,27.1859,32.5879,903.699,900.086
compose.s2._bit8_na6_nr3_paired,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/20221214-p4dfa-XiaoqiChen/Composition/compose.s2._bit8_na6_nr3_paired.smt2,54.376,0.209,3.482,0.835,0.816,0.845,1740.6,1742.83,49.6064,2.59312,8.20206,4.90133,10.1003,13.2277,19.3549,104.191,60.4511,63.4131,60.0933,65.3213,1808.2,1816.56
compose.s2._bit8_na6_nr4_paired,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/20221214-p4dfa-XiaoqiChen/Composition/compose.s2._bit8_na6_nr4_paired.smt2,80.238,0.259,6.009,1.123,0.921,0.989,2817.68,2867.41,25.5123,5.32242,7.70138,12.157,16.6546,24.6285,23.6722,106.009,91.5694,89.0624,93.316,97.8816,2922.54,2971.32
convert-jpg2gif-query-1180,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/uclid/catchconv/convert-jpg2gif-query-1180.smt2,20.933,0.539,2.048,1.892,1.809,1.854,4.356,4.314,0.88667,1.01577,1.40608,0.671626,1.06796,0.687663,1.11753,22.3587,23.9968,24.2311,23.4136,23.855,25.9767,26.3645
convert-jpg2gif-query-1190,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/uclid/catchconv/convert-jpg2gif-query-1190.smt2,22.687,0.585,2.214,2.1,1.967,2.069,4.605,4.59,0.373078,1.0334,0.629452,0.898721,0.958076,0.973208,1.10616,23.6451,25.9344,25.4165,25.5527,25.7141,28.2652,28.3832
convert-jpg2gif-query-1347,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/uclid/catchconv/convert-jpg2gif-query-1347.smt2,25.801,0.665,2.56,2.398,2.286,2.281,5.84,5.798,0.433818,1.02465,0.801565,0.692961,0.759084,0.814112,1.24172,26.8998,29.3856,29.0006,28.78,28.8411,32.4551,32.8407
convert-jpg2gif-query-1365,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/uclid/catchconv/convert-jpg2gif-query-1365.smt2,28.678,0.692,2.704,2.53,2.359,2.458,6.316,6.19,0.445233,1.16854,0.8073,0.801736,1.21809,0.866143,1.21637,29.8152,32.5505,32.0153,31.8387,32.3541,35.8601,36.0844
convert-jpg2gif-query-1402,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/uclid/catchconv/convert-jpg2gif-query-1402.smt2,26.368,0.771,3.108,2.898,2.666,2.882,11.098,11.192,0.52333,0.92928,0.840422,0.863114,1.25434,0.799439,1.34669,27.6623,30.4053,30.1064,29.8971,30.5043,38.2654,38.9067
convert-jpg2gif-query-1424,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/uclid/catchconv/convert-jpg2gif-query-1424.smt2,26.913,0.784,3.243,2.96,2.86,2.987,11.224,11.181,0.592408,0.873167,0.867586,1.23375,0.85287,1.36416,1.41383,28.2894,31.0292,30.7406,31.0067,30.7529,39.5012,39.5078
convert-jpg2gif-query-1462,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/uclid/catchconv/convert-jpg2gif-query-1462.smt2,38.842,0.874,3.37,3.216,3.066,3.179,11.479,11.518,0.474432,0.947948,0.868669,1.73245,1.26749,1.57036,1.48453,40.1904,43.1599,42.9267,43.6405,43.2885,51.8914,51.8445
convert-jpg2gif-query-1463,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/uclid/catchconv/convert-jpg2gif-query-1463.smt2,39.104,0.864,3.37,3.213,2.958,3.149,11.469,11.33,0.489385,1.03837,1.04608,1.42559,1.38575,1.52922,1.5062,40.4574,43.5124,43.3631,43.4876,43.6388,52.1022,51.9402
innd_innd_vc32481,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/inn_v2.4.3/innd_innd_vc32481.smt2,0.204,0.032,0.128,0.118,0.119,0.13,0.22,0.209,1.01123,0.775886,0.979435,0.932608,1.15313,1.10165,0.990754,1.24723,1.10789,1.30143,1.25561,1.48713,1.52565,1.40375
innd_innd_vc32499,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/inn_v2.4.3/innd_innd_vc32499.smt2,0.21,0.034,0.132,0.119,0.127,0.117,0.25,0.217,1.24045,1.07821,1.18322,1.33405,1.0481,1.1097,0.943014,1.48445,1.42021,1.51222,1.67105,1.3751,1.5697,1.37001
innd_innd_vc32635,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/inn_v2.4.3/innd_innd_vc32635.smt2,0.183,0.034,0.13,0.127,0.12,0.12,0.214,0.202,1.30562,0.859253,1.84769,1.48352,1.5954,1.44968,1.12495,1.52262,1.17225,2.15769,1.78652,1.8984,1.84668,1.50995
innd_innd_vc32662,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/inn_v2.4.3/innd_innd_vc32662.smt2,0.252,0.04,0.149,0.132,0.141,0.134,0.287,0.263,21.346,2.17673,2.77345,4.3974,5.25549,5.27091,5.03839,21.638,2.57773,3.15745,4.7904,5.64149,5.80991,5.55339
innd_innd_vc32740,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/inn_v2.4.3/innd_innd_vc32740.smt2,0.096,0.022,0.087,0.098,0.086,0.095,0.126,0.118,2.13499,3.05,4.95878,2.80687,3.19246,2.76036,2.17336,2.25299,3.23299,5.15278,2.98887,3.38346,2.98236,2.38736
mobiledevice_bit8_na6_nr3_paired,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/20221214-p4dfa-XiaoqiChen/MobileDevice/mobiledevice_bit8_na6_nr3_paired.smt2,22.146,0.123,1.097,0.516,0.476,0.514,453.975,449.506,27.8064,4.70196,7.5742,7.85789,16.0613,14.288,14.1437,50.0754,27.945,30.2362,30.4799,38.7213,490.409,485.796
src_wget_vc18516,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/wget_v1.10.2/src_wget_vc18516.smt2,0.163,0.035,0.117,0.111,0.112,0.12,0.21,0.2,3.56268,1.86624,7.73645,8.67649,4.38625,8.58618,7.82388,3.76068,2.14624,8.01045,8.95149,4.66925,8.95918,8.18688
string1x8.10._bit8_na6_nr3_paired,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/20221214-p4dfa-XiaoqiChen/StringMatching/string1x8.10._bit8_na6_nr3_paired.smt2,32.716,0.152,1.783,0.645,0.62,0.631,761.142,754.741,650.061,96.4748,104.282,44.8795,730.99,10.1653,97.9541,682.929,130.974,137.643,78.2155,764.337,804.023,885.411
string1x8.2._bit8_na6_nr3_paired,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/20221214-p4dfa-XiaoqiChen/StringMatching/string1x8.2._bit8_na6_nr3_paired.smt2,46.169,0.176,3.067,0.78,0.754,0.791,1589.37,1079.59,650.018,238.455,299.901,188.056,533.013,139.41,38.1392,696.363,287.691,346.85,234.979,579.973,1774.95,1163.9
string1x8.3._bit8_na6_nr3_paired,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/20221214-p4dfa-XiaoqiChen/StringMatching/string1x8.3._bit8_na6_nr3_paired.smt2,18.695,0.12,1.139,0.496,0.486,0.497,481.403,477.863,117.246,33.7927,34.7222,11.0776,66.6849,46.1792,102.593,136.061,53.6267,53.9132,30.2586,85.8769,546.277,599.151
string1x8.4._bit8_na6_nr3_paired,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/20221214-p4dfa-XiaoqiChen/StringMatching/string1x8.4._bit8_na6_nr3_paired.smt2,11.145,0.093,0.607,0.36,0.362,0.366,167.463,166.026,46.1832,54.0209,93.4183,132.242,117.943,27.3183,122.963,57.4212,65.7729,104.923,143.749,129.454,205.926,300.134
string1x8.6._bit8_na6_nr3_paired,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/20221214-p4dfa-XiaoqiChen/StringMatching/string1x8.6._bit8_na6_nr3_paired.smt2,18.424,0.124,0.43,0.511,0.477,0.508,472.355,469.729,71.5137,32.8511,30.8181,33.7245,84.7457,29.8884,24.5042,90.0617,51.705,49.7531,52.6255,103.678,520.667,512.657
string1x8.7._bit8_na6_nr3_paired,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/20221214-p4dfa-XiaoqiChen/StringMatching/string1x8.7._bit8_na6_nr3_paired.smt2,11.23,0.097,0.626,0.376,0.352,0.367,169.708,167.4,315.672,125.876,136.101,177.432,302.617,76.4404,141.268,326.999,137.732,147.707,189.014,314.214,257.378,319.898
