benchmark,input,smt_to_ll_seconds,slot_generation_seconds,chain_generation_seconds,first_generation_seconds,last_generation_seconds,random_generation_seconds,all-bfs_generation_seconds,all-dfs_generation_seconds,slot_solver_time,chain_solver_time,first_solver_time,last_solver_time,random_solver_time,all-bfs_solver_time,all-dfs_solver_time,slot_total_seconds,chain_total_seconds,first_total_seconds,last_total_seconds,random_total_seconds,all-bfs_total_seconds,all-dfs_total_seconds
05,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/05.smt2,22.106,,6.687,,,,,,41.2504,41.9473,155.131,82.0949,13.4026,77.6835,73.0946,,70.7403,,,,,
113,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/113.smt2,28.975,,27.863,,,,,,0.467148,1.80485,6.68439,3.91493,3.77549,5.03278,3.65394,,58.6428,,,,,
12,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/12.smt2,10.719,,2.815,,,,,,1.04553,3.18313,3.98259,5.50023,2.48131,6.58471,4.6653,,16.7171,,,,,
14,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/14.smt2,18.531,,8.685,,,,,,1.20639,2.14025,9.17601,4.583,5.01228,5.77785,5.31676,,29.3562,,,,,
18,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/18.smt2,28.859,,10.394,,,,,,650.013,131.579,212.644,147.77,60.9159,70.811,46.5954,,170.832,,,,,
22,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/22.smt2,28.871,,10.998,,,,,,572.429,27.5441,227.243,340.868,126.534,272.661,536.625,,67.4131,,,,,
26,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/26.smt2,22.17,,6.755,,,,,,126.166,60.8732,37.0162,46.1414,19.6293,13.139,28.706,,89.7982,,,,,
33,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/33.smt2,21.665,,9.856,,,,,,54.449,138.611,51.8698,5.17823,2.8278,14.8608,18.5946,,170.132,,,,,
35,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/35.smt2,28.421,,14.754,,,,,,32.6655,15.613,66.3431,18.5983,12.4052,52.9977,28.7435,,58.788,,,,,
45,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/45.smt2,13.53,,5.098,,,,,,0.935036,1.17276,5.28219,5.99854,5.6722,5.10566,7.12216,,19.8008,,,,,
