benchmark,input,smt_to_ll_seconds,slot_generation_seconds,chain_generation_seconds,first_generation_seconds,last_generation_seconds,random_generation_seconds,all-bfs_generation_seconds,all-dfs_generation_seconds,slot_solver_time,chain_solver_time,first_solver_time,last_solver_time,random_solver_time,all-bfs_solver_time,all-dfs_solver_time,slot_total_seconds,chain_total_seconds,first_total_seconds,last_total_seconds,random_total_seconds,all-bfs_total_seconds,all-dfs_total_seconds
convert-jpg2gif-query-1462,,,,,,,,,,0.474432,0.947948,0.868669,1.73245,1.26749,1.57036,1.48453,,,,,,,
convert-jpg2gif-query-1463,,,,,,,,,,0.489385,1.03837,1.04608,1.42559,1.38575,1.52922,1.5062,,,,,,,
innd_innd_vc32481,,,,,,,,,,1.01123,0.775886,0.979435,0.932608,1.15313,1.10165,0.990754,,,,,,,
innd_innd_vc32499,,,,,,,,,,1.24045,1.07821,1.18322,1.33405,1.0481,1.1097,0.943014,,,,,,,
innd_innd_vc32635,,,,,,,,,,1.30562,0.859253,1.84769,1.48352,1.5954,1.44968,1.12495,,,,,,,
innd_innd_vc32662,,,,,,,,,,21.346,2.17673,2.77345,4.3974,5.25549,5.27091,5.03839,,,,,,,
innd_innd_vc32740,,,,,,,,,,2.13499,3.05,4.95878,2.80687,3.19246,2.76036,2.17336,,,,,,,
mobiledevice_bit8_na6_nr3_paired,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/20221214-p4dfa-XiaoqiChen/MobileDevice/mobiledevice_bit8_na6_nr3_paired.smt2,21.918,,1.136,,,,,,27.8064,7.30285,7.5742,7.85789,16.0613,14.288,14.1437,,30.3569,,,,,
src_wget_vc18516,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/wget_v1.10.2/src_wget_vc18516.smt2,0.158,,0.115,,,,,,3.56268,1.44145,7.73645,8.67649,4.38625,8.58618,7.82388,,1.71445,,,,,
string1x8.10._bit8_na6_nr3_paired,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/20221214-p4dfa-XiaoqiChen/StringMatching/string1x8.10._bit8_na6_nr3_paired.smt2,32.512,,1.778,,,,,,650.061,263.728,104.282,44.8795,730.99,10.1653,97.9541,,298.018,,,,,
string1x8.2._bit8_na6_nr3_paired,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/20221214-p4dfa-XiaoqiChen/StringMatching/string1x8.2._bit8_na6_nr3_paired.smt2,45.136,,3.065,,,,,,650.018,622.39,299.901,188.056,533.013,139.41,38.1392,,670.591,,,,,
string1x8.3._bit8_na6_nr3_paired,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/20221214-p4dfa-XiaoqiChen/StringMatching/string1x8.3._bit8_na6_nr3_paired.smt2,18.501,,1.19,,,,,,117.246,81.4184,34.7222,11.0776,66.6849,46.1792,102.593,,101.109,,,,,
string1x8.4._bit8_na6_nr3_paired,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/20221214-p4dfa-XiaoqiChen/StringMatching/string1x8.4._bit8_na6_nr3_paired.smt2,11.147,,0.633,,,,,,46.1832,137.408,93.4183,132.242,117.943,27.3183,122.963,,149.188,,,,,
string1x8.6._bit8_na6_nr3_paired,,,,,,,,,,71.5137,32.8511,30.8181,33.7245,84.7457,29.8884,24.5042,,,,,,,
string1x8.7._bit8_na6_nr3_paired,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/20221214-p4dfa-XiaoqiChen/StringMatching/string1x8.7._bit8_na6_nr3_paired.smt2,11.072,,0.631,,,,,,315.672,126.414,136.101,177.432,302.617,76.4404,141.268,,138.117,,,,,
