benchmark,input,smt_to_ll_seconds,slot_generation_seconds,chain_generation_seconds,first_generation_seconds,last_generation_seconds,random_generation_seconds,all-bfs_generation_seconds,all-dfs_generation_seconds,slot_solver_time,chain_solver_time,first_solver_time,last_solver_time,random_solver_time,all-bfs_solver_time,all-dfs_solver_time,slot_total_seconds,chain_total_seconds,first_total_seconds,last_total_seconds,random_total_seconds,all-bfs_total_seconds,all-dfs_total_seconds
bin_eventlogadm_vc351368,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/samba_v3.0.24/bin_eventlogadm_vc351368.smt2,20.758,0.386,3.122,1.392,1.362,1.397,716.221,711.187,2.74733,9.38944,1.44352,1.53525,13.8822,23.4971,19.5121,23.8913,33.2694,23.5935,23.6552,36.0372,760.4761000000001,751.4571000000001
bin_eventlogadm_vc351388,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/samba_v3.0.24/bin_eventlogadm_vc351388.smt2,24.277,0.426,3.627,1.519,1.441,1.522,794.849,803.95,2.62932,13.1631,2.53735,2.42289,26.6436,39.4485,34.7431,27.3323,41.0671,28.3334,28.1409,52.4426,858.5745000000001,862.9701000000001
bin_eventlogadm_vc352367,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/samba_v3.0.24/bin_eventlogadm_vc352367.smt2,20.685,0.416,3.444,1.511,1.37,1.506,790.131,788.489,4.62526,7.82703,1.53211,0.996261,16.1833,18.8978,13.5757,25.7263,31.956,23.7281,23.0513,38.3743,829.7137999999999,822.7497
bin_libsmbsharemodes_vc4818,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/samba_v3.0.24/bin_libsmbsharemodes_vc4818.smt2,24.857,0.453,3.698,1.627,1.469,1.574,870.246,866.643,11.0829,7.85689,0.835921,0.580915,5.89992,8.22942,8.21875,36.3929,36.4119,27.3199,26.9069,32.3309,903.33242,899.71875
compose.s2._bit8_na6_nr3_paired,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/20221214-p4dfa-XiaoqiChen/Composition/compose.s2._bit8_na6_nr3_paired.smt2,53.804,0.19,3.479,0.888,0.842,0.896,1740.6,1742.83,49.6064,6.53015,8.20206,4.90133,10.1003,13.2277,19.3549,103.6,63.8131,62.8941,59.5473,64.8003,1807.6317,1815.9889
compose.s2._bit8_na6_nr4_paired,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/20221214-p4dfa-XiaoqiChen/Composition/compose.s2._bit8_na6_nr4_paired.smt2,80.079,0.252,5.723,1.241,0.983,1.238,2817.68,2867.41,25.5123,19.9559,7.70138,12.157,16.6546,24.6285,23.6722,105.843,105.758,89.0214,93.219,97.9716,2922.3875,2971.1612
convert-jpg2gif-query-1180,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/uclid/catchconv/convert-jpg2gif-query-1180.smt2,20.928,0.527,2.057,1.939,1.785,1.91,4.356,4.314,0.88667,6.21711,1.40608,0.671626,1.06796,0.687663,1.11753,22.3417,29.2021,24.2731,23.3846,23.906,25.971663,26.35953
convert-jpg2gif-query-1190,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/uclid/catchconv/convert-jpg2gif-query-1190.smt2,22.232,0.574,2.203,2.102,1.941,2.052,4.605,4.59,0.373078,3.18159,0.629452,0.898721,0.958076,0.973208,1.10616,23.1791,27.6166,24.9635,25.0717,25.2421,27.810208,27.92816
convert-jpg2gif-query-1347,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/uclid/catchconv/convert-jpg2gif-query-1347.smt2,25.521,0.639,2.568,2.378,2.311,2.345,5.84,5.798,0.433818,3.41628,0.801565,0.692961,0.759084,0.814112,1.24172,26.5938,31.5053,28.7006,28.525,28.6251,32.175112,32.56072
convert-jpg2gif-query-1365,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/uclid/catchconv/convert-jpg2gif-query-1365.smt2,28.876,0.667,2.703,2.438,2.315,2.419,6.316,6.19,0.445233,2.45608,0.8073,0.801736,1.21809,0.866143,1.21637,29.9882,34.0351,32.1213,31.9927,32.5131,36.058143,36.28237
