benchmark,input,slot_total_seconds,depth_total_seconds,max_chain_total_seconds,sum_total_seconds,depth_both_sides_total_seconds,lowest_value,lowest_column,depth_better_than_slot,max_chain_better_than_slot,sum_better_than_slot,depth_both_sides_better_than_slot,max_chain_better_than_depth,sum_better_than_depth,depth_both_sides_better_than_depth,sum_better_than_max_chain,depth_both_sides_better_than_max_chain,sum_better_than_depth_both_sides
convert-jpg2gif-query-1190,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/uclid/catchconv/convert-jpg2gif-query-1190.smt2,23.1791,26.9553,27.5343,27.6166,25.9344,23.1791,slot_total_seconds,false,false,false,false,false,false,true,false,true,false
convert-jpg2gif-query-1347,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/uclid/catchconv/convert-jpg2gif-query-1347.smt2,26.5938,31.2071,31.105,31.5053,29.3856,26.5938,slot_total_seconds,false,false,false,false,true,false,true,false,true,false
convert-jpg2gif-query-1365,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/uclid/catchconv/convert-jpg2gif-query-1365.smt2,29.9882,34.5151,34.6247,34.0351,32.5505,29.9882,slot_total_seconds,false,false,false,false,false,true,true,true,true,false
convert-jpg2gif-query-1402,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/uclid/catchconv/convert-jpg2gif-query-1402.smt2,27.2973,32.1001,32.4179,32.8359,30.4053,27.2973,slot_total_seconds,false,false,false,false,false,false,true,false,true,false
convert-jpg2gif-query-1424,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/uclid/catchconv/convert-jpg2gif-query-1424.smt2,28.3424,33.2857,33.8233,33.3013,31.0292,28.3424,slot_total_seconds,false,false,false,false,false,false,true,true,true,false
convert-jpg2gif-query-1462,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/uclid/catchconv/convert-jpg2gif-query-1462.smt2,39.5524,45.4668,44.865,45.4534,43.1599,39.5524,slot_total_seconds,false,false,false,false,true,true,true,false,true,false
convert-jpg2gif-query-1463,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/uclid/catchconv/convert-jpg2gif-query-1463.smt2,39.2284,45.1195,45.2134,45.2154,43.5124,39.2284,slot_total_seconds,false,false,false,false,false,false,true,false,true,false
innd_innd_vc32481,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/inn_v2.4.3/innd_innd_vc32481.smt2,1.25223,1.91496,2.22086,2.47098,1.10789,1.10789,depth_both_sides_total_seconds,false,false,false,true,false,false,true,false,true,false
innd_innd_vc32499,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/inn_v2.4.3/innd_innd_vc32499.smt2,1.48245,2.23485,2.47628,2.78094,1.42021,1.42021,depth_both_sides_total_seconds,false,false,false,true,false,false,true,false,true,false
innd_innd_vc32635,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/inn_v2.4.3/innd_innd_vc32635.smt2,1.52962,1.29703,1.26325,1.34272,1.17225,1.17225,depth_both_sides_total_seconds,true,true,true,true,true,false,true,false,true,false
innd_innd_vc32662,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/inn_v2.4.3/innd_innd_vc32662.smt2,21.636,11.9268,10.5053,7.36042,2.57773,2.57773,depth_both_sides_total_seconds,true,true,true,true,true,true,true,true,true,false
innd_innd_vc32740,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/inn_v2.4.3/innd_innd_vc32740.smt2,2.251,2.21171,3.53216,2.71426,3.23299,2.21171,depth_total_seconds,true,false,false,false,false,false,false,true,true,true
mobiledevice_bit8_na6_nr3_paired,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/20221214-p4dfa-XiaoqiChen/MobileDevice/mobiledevice_bit8_na6_nr3_paired.smt2,49.8414,38.7261,31.9185,27.757,27.945,27.757,sum_total_seconds,true,true,true,true,true,true,true,true,true,true
src_wget_vc18516,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/wget_v1.10.2/src_wget_vc18516.smt2,3.75268,3.1154,4.0997,4.51684,2.14624,2.14624,depth_both_sides_total_seconds,true,false,false,true,false,false,true,false,true,false
string1x8.10._bit8_na6_nr3_paired,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/20221214-p4dfa-XiaoqiChen/StringMatching/string1x8.10._bit8_na6_nr3_paired.smt2,682.719,174.05,177.95,83.0396,130.974,83.0396,sum_total_seconds,true,true,true,true,false,true,true,true,true,true
string1x8.2._bit8_na6_nr3_paired,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/20221214-p4dfa-XiaoqiChen/StringMatching/string1x8.2._bit8_na6_nr3_paired.smt2,695.335,598.585,628.676,346.953,287.691,287.691,depth_both_sides_total_seconds,true,true,true,true,false,true,true,true,true,false
string1x8.3._bit8_na6_nr3_paired,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/20221214-p4dfa-XiaoqiChen/StringMatching/string1x8.3._bit8_na6_nr3_paired.smt2,135.866,50.8817,63.0336,111.726,53.6267,50.8817,depth_total_seconds,true,true,true,true,false,false,false,false,true,false
string1x8.4._bit8_na6_nr3_paired,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/20221214-p4dfa-XiaoqiChen/StringMatching/string1x8.4._bit8_na6_nr3_paired.smt2,57.4152,124.626,115.637,98.403,65.7729,57.4152,slot_total_seconds,false,false,false,false,true,true,true,true,true,false
string1x8.6._bit8_na6_nr3_paired,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/20221214-p4dfa-XiaoqiChen/StringMatching/string1x8.6._bit8_na6_nr3_paired.smt2,90.2787,129.169,114.548,117.604,51.705,51.705,depth_both_sides_total_seconds,false,false,false,true,true,true,true,false,true,false
string1x8.7._bit8_na6_nr3_paired,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/20221214-p4dfa-XiaoqiChen/StringMatching/string1x8.7._bit8_na6_nr3_paired.smt2,326.831,174.665,206.758,199.46,137.732,137.732,depth_both_sides_total_seconds,true,true,true,true,false,false,true,true,true,false
