benchmark,input,smt_to_ll_seconds,slot_generation_seconds,chain_generation_seconds,first_generation_seconds,last_generation_seconds,random_generation_seconds,all-bfs_generation_seconds,all-dfs_generation_seconds,slot_solver_time,chain_solver_time,first_solver_time,last_solver_time,random_solver_time,all-bfs_solver_time,all-dfs_solver_time,slot_total_seconds,chain_total_seconds,first_total_seconds,last_total_seconds,random_total_seconds,all-bfs_total_seconds,all-dfs_total_seconds
05,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/05.smt2,22.106,5.563,6.738,8.098,8.092,8.095,21.999,,41.2504,21.8088,155.131,82.0949,13.4026,77.6835,73.0946,68.9194,50.6528,185.335,112.293,43.6036,121.789,
113,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/113.smt2,28.975,27.297,28.285,33.564,33.355,33.442,35.638,,0.467148,0.400743,6.68439,3.91493,3.77549,5.03278,3.65394,56.7391,57.6607,69.2234,66.2449,66.1925,69.6458,
12,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/12.smt2,10.719,2.607,2.916,3.048,2.932,2.501,3.669,,1.04553,0.632726,3.98259,5.50023,2.48131,6.58471,4.6653,14.3715,14.2677,17.7496,19.1512,15.7013,20.9727,
14,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/14.smt2,18.531,8.044,9.238,11.14,10.855,11.122,15.583,,1.20639,1.74448,9.17601,4.583,5.01228,5.77785,5.31676,27.7814,29.5135,38.847,33.969,34.6653,39.8918,
18,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/18.smt2,28.859,9.497,11.043,12.73,12.684,13.207,28.858,,650.013,74.7353,212.644,147.77,60.9159,70.811,46.5954,688.369,114.637,254.233,189.313,102.982,128.528,
22,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/22.smt2,28.871,10.005,10.988,13.243,12.534,12.642,28.758,,572.429,32.0418,227.243,340.868,126.534,272.661,536.625,611.305,71.9008,269.357,382.273,168.047,330.29,
26,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/26.smt2,22.17,5.612,6.714,7.659,7.531,8.034,21.938,,126.166,59.4814,37.0162,46.1414,19.6293,13.139,28.706,153.948,88.3654,66.8452,75.8424,49.8333,57.247,
33,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/33.smt2,21.665,9.133,9.486,11.384,11.814,11.321,23.394,,54.449,191.003,51.8698,5.17823,2.8278,14.8608,18.5946,85.247,222.154,84.9188,38.6572,35.8138,59.9198,
35,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/35.smt2,28.421,13.455,14.206,17.505,18.252,18.427,33.463,,32.6655,50.0243,66.3431,18.5983,12.4052,52.9977,28.7435,74.5415,92.6513,112.269,65.2713,59.2532,114.882,
37,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/37.smt2,29.078,11.823,12.859,13.19,13.186,13.18,23.961,,284.685,362.676,187.036,274.136,117.362,62.9654,243.564,325.586,404.613,229.304,316.4,159.62,116.004,
